Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3,WT/rim15KO_C_T00_R1,WT/rim15KO_C_T00_R2,WT/rim15KO_C_T00_R3,WT/rim15KO_C_T06_R1,WT/rim15KO_C_T06_R2,WT/rim15KO_C_T06_R3,WT/rim15KO_C_T16_R1,WT/rim15KO_C_T16_R2,WT/rim15KO_C_T16_R3,WT/rim15KO_C_T30_R1,WT/rim15KO_C_T30_R2,WT/rim15KO_C_T30_R3,WT/rim15KO_P_T00_R1,WT/rim15KO_P_T00_R2,WT/rim15KO_P_T00_R3,WT/rim15KO_P_T06_R1,WT/rim15KO_P_T06_R2,WT/rim15KO_P_T06_R3,WT/rim15KO_P_T16_R1,WT/rim15KO_P_T16_R2,WT/rim15KO_P_T16_R3,WT/rim15KO_P_T30_R1,WT/rim15KO_P_T30_R2,WT/rim15KO_P_T30_R3
Q96VH5,MICOS complex subunit MIC10,MIC10,sp|Q96VH5|MIC10_YEAST MICOS complex subunit MIC10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIC10 PE=1 SV=1,0.80497,1.524,NaN,1.5896,1.6185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.80497,1.093,NaN,NaN,1.6518,2.0143,NaN,1.1899,1.2161,NaN,1.0693,1.1779,0.87478,1.093,NaN,1.2835,1.2987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.87478,1.524,NaN,NaN,1.878,2.0667,NaN,1.3573,1.3025,NaN,1.2303,1.266,0.90768,0.61879,NaN,0.66714,0.75497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.90768,1.6160571437806042,NaN,NaN,1.0793308148947653,0.99823,NaN,1.1679650544855698,1.0576,NaN,1.1527377521613833,1.0482
Q96VH4,Putative nitroreductase HBN1,HBN1,sp|Q96VH4|HBN1_YEAST Putative nitroreductase HBN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HBN1 PE=1 SV=1,0.63658,0.59322,0.53726,NaN,NaN,NaN,2.9565,NaN,2.8744,2.5452,NaN,NaN,0.63658,0.9592,0.53726,NaN,1.8794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.84655,0.9592,0.62336,NaN,NaN,NaN,1.4306,NaN,1.0306,1.2829,NaN,NaN,0.84655,0.59322,0.62336,NaN,0.79666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3315,1.5767,1.2496,NaN,NaN,NaN,0.53651,NaN,0.38514,0.51228,NaN,NaN,1.3315,0.634236062662523,1.2496,NaN,0.4356539165287096,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92393,Transposon Ty1-OR Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-OR,sp|Q92393|YO12B_YEAST Transposon Ty1-OR Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-OR PE=3 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92331,Vacuolar protein sorting-associated protein 5,VPS5,sp|Q92331|VPS5_YEAST Vacuolar protein sorting-associated protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS5 PE=1 SV=1,0.89792,0.89073,0.91805,1.2166,1.453,0.99121,1.9954,1.4045,NaN,1.4594,1.776,1.4201,0.89792,1.0005,0.91805,0.86855,0.93645,1.0679,NaN,0.99683,1.0719,0.54231,0.90887,NaN,1.0125,1.0005,0.94881,1.2681,1.353,1.1158,1.7915,1.118,NaN,1.2437,1.2794,1.2041,1.0125,0.89073,0.94881,1.0442,0.85092,1.1059,NaN,1.0724,1.0042,0.56175,0.71023,NaN,1.1464,1.0567,1.061,1.0031,1.0502,1.0993,0.70811,0.67444,NaN,0.79007,0.63638,0.72692,1.1464,0.9463423866754992,1.061,1.2087,0.9531071292413268,1.1976,NaN,1.0450522003574079,0.96377,1.1548,0.9337068160597572,NaN
Q92317,Negative cofactor 2 complex subunit beta,NCB2,sp|Q92317|NCB2_YEAST Negative cofactor 2 complex subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NCB2 PE=1 SV=1,NaN,0.95718,1.2646,1.2638,1.0936,NaN,1.0199,1.2264,NaN,NaN,1.1674,0.99836,NaN,1.0034,1.2646,NaN,NaN,1.0444,NaN,1.0633,0.97692,NaN,NaN,NaN,NaN,1.0034,0.94774,1.115,0.87917,NaN,0.89375,0.88531,NaN,NaN,0.99536,0.8373,NaN,0.95718,0.94774,NaN,NaN,1.0831,NaN,0.92311,0.93342,NaN,NaN,NaN,NaN,1.0244,0.91221,0.96815,0.8644,NaN,0.84531,0.73562,NaN,NaN,0.9033,0.87118,NaN,0.9761811792268645,0.91221,NaN,NaN,1.0396,NaN,0.8213552361396304,0.99679,NaN,NaN,NaN
Q8J0M4,UPF0357 protein YCL012C,UPF0357 protein YCL012C,sp|Q8J0M4|YCB2_YEAST UPF0357 protein YCL012C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCL012C PE=1 SV=2,0.93317,1.1063,0.90423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93317,0.81585,0.90423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0505,0.81585,1.0582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0505,1.1063,1.0582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1405,0.7066,1.1361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1405,1.4152278516841212,1.1361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q86ZR7,Putative uncharacterized hydrolase YKL033W-A,YKL033W-A,sp|Q86ZR7|YKD3A_YEAST Uncharacterized hydrolase YKL033W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YKL033W-A PE=3 SV=2,1.0945,1.0208,1.1422,0.9507,0.80239,0.9356,0.60225,0.63594,0.88604,0.49326,0.31509,NaN,1.0945,1.0474,1.1422,1.0961,1.1044,0.94953,0.87653,1.0762,0.95474,0.70993,0.90547,0.78342,0.97957,1.0474,0.92072,0.90111,1.1006,0.92259,0.81226,0.88214,0.74295,0.45707,0.63526,NaN,0.97957,1.0208,0.92072,0.94386,0.83757,0.82343,0.80731,0.70906,0.69913,0.71166,0.68421,0.67194,0.94162,1.0532,0.84059,1.0972,1.196,0.91452,1.1281,1.5318,0.77665,0.86857,1.8789,NaN,0.94162,0.9494872768704901,0.84059,0.87849,0.742555877329769,0.80711,0.92715,0.6464541987200207,0.71352,1.0034,0.7246376811594204,0.84802
Q6WNK7,Transcription and mRNA export factor SUS1,SUS1,sp|Q6WNK7|SUS1_YEAST Transcription and mRNA export factor SUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUS1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6Q560,Protein ISD11,ISD11,sp|Q6Q560|ISD11_YEAST Protein ISD11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISD11 PE=1 SV=1,0.87915,0.89045,0.86249,1.2422,1.1004,1.405,1.5659,1.4947,1.4055,1.2466,0.94927,NaN,0.87915,0.99132,0.86249,0.9058,1.0055,0.96392,0.9649,1.0769,NaN,1.0119,1.0465,0.90929,1.0022,0.99132,1.0462,1.2025,1.0538,1.175,1.0468,0.90833,1.0812,0.95189,0.62811,NaN,1.0022,0.89045,1.0462,1.01,0.91842,1.1116,0.91386,0.89596,NaN,0.8764,0.87922,0.94973,1.0342,1.0871,1.1484,1.0061,1.0322,0.89128,0.66567,0.62629,0.73936,0.79683,0.71697,NaN,1.0342,0.9198785760279643,1.1484,1.0303,0.8151287903488752,1.083,1.1482,0.8468834688346883,NaN,0.89001,0.7867820613690009,0.90506
Q6Q547,H/ACA ribonucleoprotein complex subunit 3,NOP10,sp|Q6Q547|NOP10_YEAST H/ACA ribonucleoprotein complex subunit NOP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP10 PE=1 SV=1,0.99552,0.86338,0.96447,0.85879,0.879,0.85859,0.81816,0.78236000000000006,0.7788,NaN,0.75963,0.67341,0.99552,1.0599,0.96447,0.59763,NaN,NaN,NaN,0.6987,NaN,NaN,NaN,NaN,1.0013,1.0599,0.90445,1.0189,0.95103,0.96155,0.99118,1.0903,0.9427,NaN,1.1734,0.95071,1.0013,0.86338,0.90445,0.83748,NaN,NaN,NaN,0.81138,NaN,NaN,NaN,NaN,1.0193,1.2279,0.91215,1.1492,1.2159,1.1207,1.3085,1.4657,1.31,NaN,1.6862,1.3614,1.0193,0.8143985666585227,0.91215,1.3193,NaN,NaN,NaN,1.1676786548341895,NaN,NaN,NaN,NaN
Q6Q546,Ubiquitin-like modifier HUB1,HUB1,sp|Q6Q546|HUB1_YEAST Ubiquitin-like modifier HUB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HUB1 PE=1 SV=2,0.88289,0.77761,0.92165,NaN,0.90499,0.93331,NaN,NaN,NaN,NaN,NaN,NaN,0.88289,0.95887,0.92165,0.87315,0.87807,0.8438,1.0232,NaN,1.031,0.58031,0.98394,0.94625,0.78211,0.95887,0.60038,NaN,0.72979,0.65854,NaN,NaN,NaN,NaN,NaN,NaN,0.78211,0.77761,0.60038,0.91481,0.78594,0.74616,1.0225,NaN,0.59291,0.58394,0.8582,0.6891,0.82522,1.2005,0.64734,NaN,1.0519,0.84068,NaN,NaN,NaN,NaN,NaN,NaN,0.82522,0.8329862557267805,0.64734,1.0242,0.7468817686160281,0.90819,0.91255,NaN,0.69737,0.93195,0.882223202470225,0.75938
Q3E846,Cytochrome c oxidase assembly factor 6,COA6,sp|Q3E846|COA6_YEAST Cytochrome c oxidase assembly factor 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COA6 PE=1 SV=1,0.68383,1.1794,0.9025,1.9858,1.8783,NaN,3.1971,NaN,3.0573,2.5694,2.6635,2.5549,0.68383,0.98428,0.9025,1.5808,1.2658,1.3973,1.5085,0.93147,NaN,1.1134,NaN,1.8109,0.96007,0.98428,0.92344,1.7533,1.3539,NaN,1.8982,NaN,1.5401,1.7629,1.286,1.4927,0.96007,1.1794,0.92344,1.4171,2.4609,1.4124,1.211,1.1549,NaN,0.99933,NaN,0.95316,1.5379,0.7905,1.9447,0.90872,0.71342,NaN,0.58104,NaN,0.5208,0.71475,0.48918,0.61724,1.5379,1.2650221378874131,1.9447,0.96211,1.6273393002441008,0.95841,1.0667,1.1492799760949763,NaN,1.1179,NaN,0.63096
Q3E841,Uncharacterized protein YNR034W-A,YNR034W-A,sp|Q3E841|YN034_YEAST Uncharacterized protein YNR034W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNR034W-A PE=1 SV=1,0.65247,0.72401,2.1533,5.3788,4.7059,4.0465,4.0749,5.2447,3.792,3.4079,4.5698,4.3121,0.65247,1.6069,2.1533,1.4607,1.8902,1.624,1.0685,0.71046,0.92336,1.3137,0.96924,1.0732,1.1777,1.6069,1.6418,5.6232,4.0404,5.6649,5.6016,3.9703,5.8044,4.782,3.4539,6.6461,1.1777,0.72401,1.6418,2.6813,2.8963,2.9919,1.9484,2.1319,1.9516,1.9084,2.932,2.0176,1.8383,2.196,0.74123000000000006,1.1139,0.84927,1.3412,1.463,0.82242,1.5159,1.4172,0.74768,1.7296,1.8383,0.4553734061930783,0.74123000000000006,1.9112,1.436740323553921,1.7854,1.7453,3.056141315974451,2.0212,1.3449,3.0256270612084353,1.848
Q3E834,Protein transport protein YOS1,YOS1,sp|Q3E834|YOS1_YEAST Protein transport protein YOS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOS1 PE=1 SV=1,NaN,1.1167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.89566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1164950985865172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3E833,EKC/KEOPS complex subunit PCC1,PCC1,sp|Q3E833|PCC1_YEAST EKC/KEOPS complex subunit PCC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PCC1 PE=1 SV=1,1.0622,0.98161,0.91082,0.80066,0.52788,NaN,NaN,0.50926,NaN,NaN,NaN,0.56406,1.0622,1.0113,0.91082,NaN,0.65809,NaN,0.48086,0.70097,0.60583,0.45598,0.57137,0.65189,0.98165,1.0113,0.63732,0.51026,0.48108,NaN,NaN,0.63706,NaN,NaN,NaN,0.49519,0.98165,0.98161,0.63732,NaN,0.57607,NaN,0.6941,0.5293,0.45339,0.54251,0.44267,0.54109,0.90424,1.1547,0.74521,0.79113,1.1553,NaN,NaN,1.1214,NaN,NaN,NaN,0.8697,0.90424,0.8660258075690656,0.74521,NaN,0.7993605115907275,NaN,1.3443,0.8533151292772422,0.83664,1.1725,0.5414185165132648,1.1471
Q3E830,Uncharacterized protein YCR075W-A,YCR075W-A,sp|Q3E830|YC075_YEAST Uncharacterized protein YCR075W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCR075W-A PE=1 SV=1,NaN,1.1384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.71894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3909366567446517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3E824,Uncharacterized protein YOR020W-A,YOR020W-A,sp|Q3E824|YO020_YEAST Uncharacterized protein YOR020W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOR020W-A PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3E7Z5,Uncharacterized protein YIL002W-A,YIL002W-A,sp|Q3E7Z5|YI002_YEAST Uncharacterized protein YIL002W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YIL002W-A PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3E7Y3;P0C0W1,40S ribosomal protein S22-B;40S ribosomal protein S22-A,RPS22B;RPS22A,sp|Q3E7Y3|RS22B_YEAST 40S ribosomal protein S22-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS22B PE=1 SV=3;sp|P0C0W1|RS22A_YEAST 40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN,0.97726,1.0063,0.87715,0.86576,0.8868,0.8145,1.0172,0.9476,0.84783,0.89515,0.98432,0.8756,0.97726,0.96584,0.87715,0.54268,0.63586,0.47508,0.33221,0.39483,0.38008,0.26321,0.27848,0.26421,1.0202,0.96584,0.9773,0.9805,0.95169,0.95205,0.92839,0.843,0.9802,0.9712,0.83635,0.91072,1.0202,1.0063,0.9773,0.66985,0.73673,0.56528,0.33236,0.46114,0.43479,0.3111,0.36855,0.36773,1.0485,0.97952,1.1074,1.0511,1.0572,1.1733,0.95877,0.81781,1.1874,1.0732,0.92765,1.0651,1.0485,1.0209081999346619,1.1074,1.0064,1.0951343182241302,1.1111,1.0918,1.1754887094309459,1.2209,1.056,1.3575704918477893,1.286
Q3E7X9,40S ribosomal protein S28-A,RPS28A,sp|Q3E7X9|RS28A_YEAST 40S ribosomal protein S28-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS28A PE=1 SV=1,1.1183,1.0171,0.99642,0.73767,0.77753,0.76693,0.81469,0.75229,0.74601,0.87074,0.77784,0.70631,1.1183,1.2723,0.99642,0.53629,0.48782,0.41059,0.23696,0.25774,0.23506,0.13502,0.18414,0.17905,1.0956,1.2723,0.82371,0.74189,1.0985,0.7789,0.7869,0.80877,0.7676,0.7563,0.79622,0.76136,1.0956,1.0171,0.82371,0.47377,0.51937,0.48795,0.30244,0.31185,0.27466,0.2315,0.22995,0.22062,0.94442,1.2958,0.82877,1.0778,1.4335,1.0262,1.1197,1.0891,1.0929,0.91286,1.1788,1.0439,0.94442,0.7717240314863405,0.82877,0.89829,1.095926441417252,1.1727,1.1827,1.1674469103517517,1.1516,1.7453,1.203659123736158,1.227
Q3E7C1,RNA polymerase II transcription factor B subunit 5,TFB5,sp|Q3E7C1|TFB5_YEAST General transcription and DNA repair factor IIH subunit TFB5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TFB5 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3E7B7,SERF-like protein YDL085C-A,YDL085C-A,sp|Q3E7B7|YD85C_YEAST SERF-like protein YDL085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDL085C-A PE=1 SV=1,NaN,NaN,1.5455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3E7A9,"Cx9C motif-containing protein 4, mitochondrial",CMC4,"sp|Q3E7A9|CMC4_YEAST Cx9C motif-containing protein 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CMC4 PE=1 SV=1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9128,1.2012,1.1677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1735,1.1359,0.86005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.33056,0.9678668215253582,0.69704
Q3E7A3,Uncharacterized protein YJL133C-A,YJL133C-A,sp|Q3E7A3|YJ133_YEAST Uncharacterized protein YJL133C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJL133C-A PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2073,NaN,NaN,0.43878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2673,NaN,NaN,0.45906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1186433093943666,NaN,NaN,0.9976057462090983,NaN,NaN,NaN,NaN
Q3E795,Uncharacterized protein YLR361C-A,YLR361C-A,sp|Q3E795|YL361_YEAST Uncharacterized protein YLR361C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YLR361C-A PE=1 SV=1,0.9498,0.99733,0.97228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9498,1.3049,0.97228,1.1989,NaN,NaN,NaN,NaN,NaN,0.66823,NaN,NaN,0.93135,1.3049,0.88625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93135,0.99733,0.88625,1.0972,NaN,NaN,NaN,NaN,NaN,0.88453,NaN,NaN,0.87055,1.2128,1.0079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.87055,0.8245382585751978,1.0079,0.83505,NaN,NaN,NaN,NaN,NaN,1.4844,NaN,NaN
Q3E793,Uncharacterized bolA-like protein YAL044W-A,YAL044W-A,sp|Q3E793|BOL1_YEAST BolA-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BOL1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,1.2621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.69516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3E792;P0C0T4,40S ribosomal protein S25-A;40S ribosomal protein S25-B,RPS25A;RPS25B,sp|Q3E792|RS25A_YEAST 40S ribosomal protein S25-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS25A PE=1 SV=1;sp|P0C0T4|RS25B_YEAST 40S ribosomal protein S25-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN,0.9183,0.95203,0.79015,0.90064,0.94703,0.72798,0.79838,0.9239,0.88621,0.8391,0.93556,0.76401,0.9183,0.96695,0.79015,0.4316,0.45617,0.40338,0.23581,0.2365,0.25409,0.19718,0.19837,0.097534,1.0291,0.96695,1.0139,0.85103,0.94675,0.92274,0.82539,0.77004,0.85429,0.86071,0.80923,0.73149,1.0291,0.95203,1.0139,0.48537,0.53388,0.51857,0.28385,0.39103,0.37403,0.19617,0.30966,0.25826,1.1561,1.0489,1.2932,1.0115,1.0868,1.2676,0.8869,0.77868,1.0006,1.0823,0.93786,1.0276,1.1561,0.9533797311469159,1.2932,1.0709,1.2021542604346989,1.2706,1.157,1.434740814071938,1.4003,1.0597,1.382858091102691,1.8067
Q3E784,SCOCO-like protein 1,SLO1,sp|Q3E784|SLO1_YEAST SCOCO-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SLO1 PE=1 SV=1,1.2608,1.621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2608,1.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.68804,1.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.68804,1.621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.52968,0.78478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.52968,1.2742424628558322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
